Terminal;Latitude;Longitude;Local;Tipo;TerminaisPanorama;;;;
RODRIMAR;-23.925187545030003;-46.34477963433319;;;;;;;
RODRIMAR - ARM VIII;-23.925187545030003;-46.34477963433319;;;;;;;
SANTOS BRASIL;-23.961805350481832;-46.29274763227614;Esquerda;Carga Geral;;;;;
SANTOS BRASIL (SSZ35.2 Saboó);-23.924786510515773;-46.34604282230018;Direita;Multipropósito;;;;;
STOLTHAVEN;-23.926671421049985;-46.36265700303697;Direita;Granel Líquido;;;;;
SUZANO (ARM 32);-23.965733832459062;-46.30100138896649;Direita;Celulose;;;;;
SUZANO (VCP - ARM 13/14/15);-23.964834907546784;-46.301492065110914;;;;;;;
TEAÇU 1 - CPB;-23.94450516870909;-46.313980518385705;Direita;Granel Sólido Vegetal;;;;;
TEAÇU 2 - CPB;-23.94450516870909;-46.313980518385705;Direita;Granel Sólido Vegetal;;;;;
TEAÇU 3 - CPB;-23.94450516870909;-46.313980518385705;Direita;Granel Sólido Vegetal;;;;;
TEAG (ARM 33);-23.970945708846422;-46.27695384536292;Esquerda;Granel Sólido Vegetal;;;;;
TECONDI - TUP;-23.927996785231286;-46.33727044340278;;;;;;;
TEG;-23.973064203574317;-46.28499719588112;Esquerda;Granel Sólido Vegetal;;;;;
TEQUIMAR;-23.92431746899436;-46.362421452146926;Direita;Granel Líquido;;;;;
TERM. DOW - TPO;-23.976891606112652;-46.27341172007166;;;;;;;
TERM. MARIT. GUA;-23.970016021107938;-46.28672746541674;Esquerda;Fertilizantes;;;;;
TERMAG;-23.970016021107938;-46.28672746541674;Esquerda;Fertilizantes;;;;;
TERMARES;-23.925889689659318;-46.34548325360151;Direita;Multipropósito;;;;;
TERMINAL 12A;-23.934836963633884;-46.31492233485182;Direita;Granel Sólido Vegetal;;;;;
TERMINAL DE GRAO;-23.95391907876921;-46.3097986230359;Direita;Granel Sólido Vegetal;;;;;
TES;-23.9800477579275; -46.29313866696162;Direita;Granel Sólido Vegetal;;;;;
TEV;-23.957002920520054;-46.29167350577831;Esquerda;Carga Geral/Veículos;;;;;
TGG;-23.967532188718756;-46.2878947048904;Esquerda;Granel Sólido Vegetal;;;;;
TMV;-23.926199760603208;-46.34159365430589;;;;;;;
TRANSBRASA;-23.94668229970457;-46.341745729060314;;;;;;;
TRANSPETRO;-23.92507468214061;-46.36576639088672;Direita;Granel Líquido;;;;;
ULTRAFÉRTIL - TP;-23.85729965874073;-46.36087160019902;;;;;;;
USIMINAS;-23.87012661466557;-46.376775059288605;Cubatão;Multipropósito;;;;;
USIMINAS - TPF;-23.87012661466557;-46.376775059288605;Cubatão;Multipropósito;;;;;
VOPAK (ALAMOA);-23.9261608458887;-46.372896001677155;Direita;Granel Líquido;;;;;
VOPAK (ILHA);-23.921332330919082;-46.32456598741977;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
